 Cod. Tipo Entidad ; Tipo Entidad ; Cód. Entidad ; Entidad ; Cód. País ; País ; Cod CCAA ; CCAA ; Cod. Provincia ; Provincia ; Cód. Municipio ; Municipio/Población ; Domicilio ; CP ; Tipo 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 015 ; BADALONA ; CL DEL MAR 69 ; 08911 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; CL TRAVESERA DE GRACIA 39 ; 08021 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; AV DIAGONAL 632 ; 08017 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; ZZ CòRSEGA, 476-478.  ; 08025 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; RB DE CATALUNYA 57 ; 08002 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; ZZ VIA LAYETANA 13  ; 08003 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 019 ; BARCELONA ; PS DE GRACIA 112 ; 08008 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 073 ; CORNELLÀ DE LLOBREGAT ; CR D'ESPLUGES, 124    (OF PRAL)  ; 08940 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 096 ; GRANOLLERS ; PZ DE LA CORONA, 1  ; 08400 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 101 ; HOSPITALET DE LLOBREGAT(L') ; RB JUSTO OLIVERAS, 28  ; 08901 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 123 ; MOLINS DE REI ; AV DE BARCELONA, 21-23  ; 08750 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 184 ; RUBI ; AV DE BARCELONA, 8-10  ; 08191 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 187 ; SABADELL ; ZZ PASSEIG PLAÇA MAJOR 62-64 ; 08202 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 205 ; SANT CUGAT DEL VALLÈS ; PZ DELS QUATRE CANTONS, 1  ; 08172 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 279 ; TERRASSA ; ZZ FONT VELLA, 7-9      (OF PRAL)  ; 08221 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 305 ; VILAFRANCA DEL PENEDÈS ; AV DE TARRAGONA 1 ; 08720 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 307 ; VILANOVA I LA GELTRU ; ZZ JOSEP TOMAS VENTOSA, 23  ; 08800 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 17 ; Girona ; 023 ; BLANES ; PS PAU CASALS, 66  ; 17300 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 17 ; Girona ; 066 ; FIGUERES ; ZZ RAMBLA, 31.  ; 17600 ; Operativas ; 
