 Cod. Tipo Entidad ; Tipo Entidad ; Cód. Entidad ; Entidad ; Cód. País ; País ; Cod CCAA ; CCAA ; Cod. Provincia ; Provincia ; Cód. Municipio ; Municipio/Población ; Domicilio ; CP ; Tipo 
BP ; BANCOS ; 0003 ; BANCO DE DEPOSITOS, S.A. (0003) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 079 ; MADRID ; ZZ JOSE ORTEGA Y GASSET 00029 ; 28006 ; Operativas ; 
BP ; BANCOS ; 0011 ; ALLFUNDS BANK, S.A. (0011) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 079 ; MADRID ; CL PADRES DOMINICOS 7 ; 28050 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 005 ; ALCALA DE HENARES ; ZZ NATIVIDAD, 2.  ; 28805 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 006 ; ALCOBENDAS ; ZZ BRUSELAS, 5  ; 28108 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 006 ; ALCOBENDAS ; ZZ CAPITAN FRANCISCO SANCHEZ LOPEZ, 6.  ; 28100 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 007 ; ALCORCON ; ZZ MAYOR, 12(OF.PRINCIPAL)  ; 28921 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 013 ; ARANJUEZ ; ZZ ALMIBAR, 87.  ; 28300 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 022 ; BOADILLA DEL MONTE ; AV DEL INFANTE DON LUIS 8 ; 28860 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 065 ; GETAFE ; ZZ MADRID, 14.  ; 28901 ; Operativas ; 
BP ; BANCOS ; 0019 ; DEUTSCHE BANK, S.A.E. (0019) ; ES ; ESPAÑA ; 12 ; MADRID             ; 28 ; Madrid ; 079 ; MADRID ; AV DONOSTIARRA, 26.  ; 28027 ; Operativas ; 
